RESOURCE_ID,GENERATION_UNIT_ID,NODE_ID,AGGE_TYPE,RESOURCE_TYPE,COMMENTS,EFF_START_DT_GMT,EFF_END_DT_GMT,EFF_START_DT,EFF_END_DT
MSTANG_2_SOLAR,MSTANG_2_SOLAR,Q643WC2_7_N001,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
SNCLRA_2_UNIT1,SNCLRA_2_UNIT1,SCLARA_6_N026,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
FREEZOUT_6_UNIT,FREEZOUT_6_UNIT,FREEZOUT_NODET,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
CHINO_2_SOLAR2,CHINO_2_SOLAR2,CHINO_6_N033,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
SW_7_SADDLEMT,SW_7_SADDLEMT,SW_GNODESADDLEMT,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
WRW1_2_PLANT,WRW1_2_PLANT,WRW1_2_PLANTGNODE,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
DONPEDRO_6_MIDUNIT1,DONPEDRO_6_MIDUNIT1,DONPEDRO_6_MIDUNIT1GNODE,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
VALLEY_5_REDMTN,VALLEY_5_REDMTN,VALLEYSC_1_N102,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
CENTER_2_TECNG1,CENTER_2_TECNG1,CENTERS_2_N036,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
GRSR_7_SOLAR,GRSR_7_SOLAR,GRSR_GNODERSR,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
